subject,description
Re: $23.90 payment to AppOnFly s.r.o. was unsuccessful,"Richard O Daniels
I want to use the computer, not the browser
Desktop remote
I want the username
And password
IB

‫في الاثنين، 29 يناير 2024 في 3:25 ص تمت كتابة ما يلي بواسطة ‪AppOnFly s.r.o.‬‏ <‪failed-payments+acct_1K16cnAj6DZgTxNU@stripe.com‬‏>:‬

     

We weren't able to charge the credit card you provided. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ 

 

AppOnFly s.r.o.

 

 

   $23.90 payment to AppOnFly s.r.o. was unsuccessful

We were unable to charge your Visa ending in 3077 for your AppOnFly s.r.o. subscription. Please update your billing information to continue your subscription.

Update billing information  (https://www.apponfly.com/)

 

 

Questions? Contact us at support@apponfly.com

  

 

 

 

Powered by   |   Learn more about Stripe Billing (https://58.email.stripe.com/CL0/https:%2F%2Fstripe.com%2Fbilling/1/0100018d52d1daf5-8404a0c1-79e1-4269-96e6-dae5f9cd591d-000000/EA9KJBtfdNBo2jczZmSyG0Ttm6idWGf0j8_H3gT_i-g=337)"
New Host,"Can you host a casino on VPS or VDS and what country will it be?Is there payment with crypto?Is there KYC?- CPU: 8 cores - RAM: 16 GB - Storage: 2 x 250 GB, SSD MANDATORYThe price of such a configuration, stability, payment options, availability of backups, access speed and channel width?Or what's the tariff?"
Factory Reset,"Hello! On Jan 24th i tried to connect to my VPS. it took a while and it never connected; i assumed the worst so i factory resetted to factory defaults.



it has been 2 days and it still says that it is resetting and will be up and ready in ‘a few minutes’"
vps dont start.,"hi   The vps start adequately only the first time i use it.  At the second time the connection dont establish with the turning button .   I have to factory reset at each time i use the vps to have access to the vps.  it is fastidious and we cannot by the way install anything.

Do you have a solution ?"
Usage log,"Dear AppOnFly team,

are you able please able to provide me with usage logs? All my VPSs show unlikely high hours of usage. Please have a look at the attached screenshot. Both VPSs show usage with ratio 2:3 (40:60 hours, 200:300 hours). I'm very very sure I haven't spent so much hours.

Thank you"
bad experience ,i was tring to start my vps 2 days ago. it was shoing that your site is updateing.   i did not use it after that . but now its showing it used 40 hour itself. what the hell man. please solve it and give my my 46 hour.
location is not Uk,I need VPS for the location in United Kingdom but when i logged in the location was not UK. can you please update my location to UK?
New Host,"Can you host a casino on VPS or VDS and what country will it be?Is there payment with crypto?Is there KYC?- CPU: 8 cores - RAM: 16 GB - Storage: 2 x 250 GB, SSD MANDATORYThe price of such a configuration, stability, payment options, availability of backups, access speed and channel width?Or what's the tariff?"
VPS Location,"Hello,

I have just purchased the VPS. I have noticed that location is Poland but I would like to have US, is it possible?

Can we eventually cancel this VPS and open a new one?

Thanks,
Valerio"
i need some help,"I want to start the VT on my rdp please
I want emulator that requires"
proxy/vpn,"i wanted to run an app but i get an error saying you are using vpn but im not using vpn

does my computer use proxy or how can i resolve this"
Subscription added to account,"Hi, my name is Demetry. Your flexible payment options look good, and so I want to start using the platform to access Windows on my Chromebook. I was looking at the $12 for 100 hours package, which give me 2CPU, 8RAM, etc. So I would like to confirm, if I start with this offer, will it expire when 100 hours of VPS has been used only?"
Re: [AppOnFly] Re: Re: [AppOnFly] Re: rdp connection,"This is a follow-up to your previous request #1401 ""Re: [AppOnFly] Re: rdp conn...""

Bonjour,

Merci mais je suis en azerty sous windows et chrome et je n'y arrive pas.

Autre question est il possible d'être sur un serveur français ou d'installer un vpn.

Merci encore"
i have problem . I can't Connect to my VPS ,"Le server distant est inaccessible. Si le problème persiste, merci de notifier l'administrateur ou de regarder les journaux système."
Richard O Daniels,"Richard O Daniels

I want to use my account on my computer
I do not want to use the account on the page
I want the  username
and           password
and             IP"
infinite starting,"Hello,

I have been experiencing some issues with starting my virtual machine. It is stuck on “starting” without doing any progress, and I cant do anything about it. I need this issue fixed asap.

Thanks"
cancelling free trail,How do I cancel the free trail before I'm charged
how to get a VPS,where can i find my VPS
Changing email,"Hello,

I have another account with email vvalvoltd@gmail..com.

I didn't want to create a new account with email jennylaurence766@gmail.com. I simply wanted to change the email.

From vvalvoltd@gmail.com to jennylaurence766@gmail.com.

Is it possible? Can you help? This is urgent"
Can't connect the app windows online,"There is no way to connect to the windows online app. I just purchased a 100hr per year plan.

thanks"
paid but vps doesn't show,no vps
My page is all white,"My page for connect is all white, how to solve that ? ![](https://apponfly6713.zendesk.com/attachments/token/mlpSNis7yFD34zqgwThAN3HME/?name=22288A26-F39F-4196-9754-6D97991B358D.png)"
it still hasn't i waited 5 hour's and it's not working ," ![](https://apponfly6713.zendesk.com/attachments/token/EyUWt73YeDftbBrZhSydEcyqB/?name=Screenshot+2024-02-03+2.18.03+PM.png)

it's now 2:18pm last time i used was 8:03am"
IP Trial Limit Not Working At School,"I've used a few trials for a few times in school. I'd get the “trial IP address limit reached” sign and I'd wait for 30 minutes to over an hour. When I go back, it still doesn't work and it's like that for the rest of the day. Is it my school or something? How can I fix it?"
Performing Factory Reset,"Hello, my vps been stuck on Performing Factory Reset for the last 12 hours Please help me I think it is broken."
my vps expired unexpected,"**Why did my Windows VPS - 2CPU, 8GB RAM, 100GB SSD expire? This VPS clearly has a one-year term and the subscription was paid on August 25, 2023.**"
Changing email,"Hello, I would like to update the email of my account with jennylaurence766@gmail.com.

I already did but apparently a new account has been created. Now even if I try with another emails it always give me error (find attached screenshot).

Can you please help asap? This is urgent!"
дедик,Добрый день если я куплю максимальную версия подписки я могу каждый раз создавать новый дедик с чистым железом когда мне надо?
nomachine,"greetings,

i am trying to connect to my remote vps desktop using nomachine app but the connection not succeeded"
Spotty connection to Guacamole Server,"Hi, my name is Demetry. I'm having some issues with connecting to the Guacamole Server. I don't think it's my WiFi because the connection is “strong"" (with attachment.)

Is this normal that one can have errors (in my case, about 5 times out of 10) connecting to the server? I included a screenshot of the type of error i'm getting.

This prohibits my ability to test EAs and trading systems effectively. Thank you."
Hours being used,"Hi, so can you tell my why my hours is running lower without me being connected to the server?  Today (20 Feb), I only was able to successfully connect to the server for 30 minutes, but 3 hours was being taken off my 96 hours.

For 5 hours, I'm still not being able to connect. It says, “Connection to server unavailable."" And my hours is still going lower. I've been noticing it for the the past couple of days now."
why ,"Hello friends
I have used about 70 hours out of 100 subscriptions and have not requested a new subscription.
Has my account been hacked?
Thankful."
problem,"I linked my credit card to help me pay for my subscription, but I don’t know why no invoice was generated for me to pay."
my account,"Hi, Can you please extend my account for 10 hours?

thankful"
upgrade subscription,"Hi,

I took a 100h silver subscription to test. Works fine sofar.

Can I upgrade to a year plan - so I don't have to restart vms every day.



BR,

Iwan Bonoo"
apponfly is not working,"Hello

The reason I am contacting you is because I paid for a subscription and it is not working. When I log onto the website the section labeled ""my vps & apps"" is blank. I can't see anything or use the windows vps. Please help. Thanks in advance."
Re: [Request received],"This is a follow-up to your previous request #1099 ""Enable Ethernet Network - VPS""

Dear Sir/Madam,

I am writing to launch a complain of the 10 hours remaining in my VPS account which was to expire in August, but right now I can not access my account. Where did the remaining 10 hours went to?
Kindly check and clarify what happened so that i am being told to renew it before 8 February 2024 instead of 8 August 2024.
I will appreciate any assistance accorded.

Regards, 
Ernest Maiyo
Account - ernestmaiyo2@gmail.com



 Sender notified by
Mailtrack (https://mailtrack.io?utm_source=gmail&utm_medium=signature&utm_campaign=signaturevirality11&)  02/16/24, 05:26:56 PM"
Change email/close account/refund,"Hello, since it is not possible to change the email of my account I would like to close it.

I will open another VPS with the other account jennylaurence766@gmail.com.

Can you please delete this account and give me a refund for the unused hours?



Anyway, I find very weird that I can't change email, given the interface in the profile settings, where I am allowed to change the email address (please find the screenshot attached). It even says that a confirmation email has been sent and I should confirm from that email. When I do so, it gives me error.

But at the same time one new account with that other email has been created.

This is clearly a bug.

Are you 100% sure that we can't just change email?

Also, if you could answer sooner than 3-5 days that would be appreciated.

Thanks"
VPS not working,"Hello, I use your VPS and I tried to factory reset it to make it slightly faster & just to have a fresh install. It said it will be done in a few minutes, so I left it and came back in around 20 minutes, and it was still not done. This was last night, so I went to bed and when I logged in to AppOnFly again this morning it was still performing it. I don't think it should take that long, so what should I do?"
Disputed payment,"Hi gyanadeeps@gmail.com,

We recently received notification that a payment you made to AppOnFly is being disputed due to a ""Subscription Canceled"". We take such matters seriously and want to ensure your satisfaction with our service.

We understand that sometimes billing discrepancies can occur, and we're here to help resolve any concerns you may have. However, we also want to emphasize that our records show that your service with AppOnFly is currently active and functioning as expected.

To better understand the nature of the dispute and address any issues promptly, we kindly request your assistance in clarifying the situation. **Could you please provide more details about why the dispute was initiated?** If there has been any confusion or if you believe this dispute was issued in error, we would greatly appreciate your feedback.

Our team is committed to providing you with exceptional service, and we want to ensure that your experience with AppOnFly is positive and trouble-free. If you find that the service is working as expected and that the dispute was issued in error, **we kindly request that you consider withdrawing the dispute to help us expedite the resolution process**.

Please feel free to reply to this message or reach out to our customer support team to discuss the matter further.
Thank you for your cooperation, and we look forward to resolving this issue to your satisfaction.

Sincerely,
AppOnFly Suport Team"
Can't access my VPS that I paid for,Can you help me with this?
adress of the vps site with remote computer,Hello  When we want to connect to the VPS with a remote computer.  What is the http adress of the VPS.  Thank You for the response.
RDP Login Error,i purchased Yearly plane but where i can find login details
Update from 80 Level | AppOnFly | 2/23/2024,"Hello!

I hope you're doing well. This is Ana from 80 Level (https://80.lv/) . We connected in September, and you asked me to follow up with you in February once you launch a new service that may better meet our readers. I wanted to touch base as per your request and explore potential collaborations with your team.

Current Status:

* We reached out to you with the marketing and content campaign possibilities that your team could run on 80 Level. You may learn more about various opportunities in the media kit attached to this email.

Updates:

* I wanted to share some exciting news with you – our team has rolled out a new initiative. We now offer the opportunity to host contests, providing a fantastic way to engage our audience and attract more attention to your brand and products. These contests can be tailored exclusively for your company or conducted in partnership with other companies. For a preview of our contest format, you can explore details about our recent contest for Unreal Engine creators here (https://80.lv/articles/80-level-launches-a-community-metasites-challenge/) , and visit the contest website here (https://80.lv/challenge2023) .

Next Steps:

* Please let me know if any of the content marketing collaboration options interest you.
* If you would like to learn more about the opportunity to host a contest, please do not hesitate to reach out. I'll be happy to share more details with you.

Thank you!

--
Ana Kessler,

Book a Meeting Today (https://ana80.youcanbook.me/)"
multi screen,"good evening, im just wondering if this could be used on 4 screens? i have a heavy work load and need 4 screens, even if cost is more thats fine just wondering if possible from same virtual computer"
not connecting my vps,i bought a subscription and canceled my other one and ive been waiting like 20 minutes for it to connect so it can start running but it hasnt and i spended $12 so pls help me
Paid subscription but no vps,"Hello can you check why my RDP isn't in my dashboard

.."
problems with 2 VMs,"good day,

i have some problems with my 2 VMs, the first one stays in “we are spinning up your vps” and after 30min it is still the same.

the second one with 8GB of ram has only 1gb assigned.

Could you please resolve?

thanks."
Stuck At Factory Reset,"Its Taking To Long To Factory Reset Please Help .. Stuck At

“ We Are Spinning Up Your VPS, It Will Be Up & Running In A Few Minutes ”



But Its Been An Hour ..

* Still Stuck *"
I want to get VPS RDP with GPU Nvidia  4 GB,"Is it possible to show me  VPS RDP with PC windows 10 with  GPU Nvidia  4 GB
as free trial for 1 hour ,
if it possible send to me a link on my email
best regards

Eng:Ashraf"
500 hours pack,"Hello, I want to buy 500 hours subscription but I have a question about it.

Is the 500 hour package only valid for 1 month or the or until you use 500 hours and finish it?

Will each attempt be timed, that is, will I be fired every 1-2 hours or will it remain open as long as I use it?

Will the documents and files I use remain saved or will they be deleted every time I log out?

thanks"
Subscription,"Hello,
On February 13, I had purchased 100 hrs per year plan (WINDOWS VPS- 2CPU, 8GB RAM, 100 GB SSD) which was on sale for $6. 

I had used about 7 hrs. 

Now it says it has expired. It was supposed to expire on February 13, 2025.

Could you please check it for me?

Thanks."
I can’t install programs from the Microsoft Store,I was struggling to install the Microsoft store on my vps through standard methods; however I was able to run a script to install it. I am still unable to install any apps from the store however. I also noticed the Microsoft store is not installed in your free trial version as well so it can’t be unique to just my machine.  Can you please help me install apps from the Microsoft Store so I can run Paint 3D.
help,i cant download a game called runescape fails to connect to internet..
Re: [AppOnFly] Re: Re: [AppOnFly] Re: Re: [AppOnFly] Re: rdp connection,"This is a follow-up to your previous request #1434 ""Re: [AppOnFly] Re: Re: [App...""

Hello, It seems that the hour counter of the machine ""Windows VPS - 4CPU, 16GB RAM, 250GB SSD"" took a lot of hours at once, can you please check. Kind regards."
About Virtual Machine Lag,"The trial version is running slow, will subscribing improve that?"
SCAMM I WILL SUE UNLESS U REFEND MY MONEY,YOU SAID I WILL GET 8 GB OF RAM WHEN I HAVE FUCKING 2 WHAT A SCAM 0 STAR PLEASE RENEW SO I CAN GIVE A GOOD SUPPORT RATEING AT LEAST
Refund,"Hi

I accidentally purchased 10 minutes ago the service by logging in through my private email

Joannakarg@gmail.com when it should have been purchased on another email.

My sincere apologies for this but I cancelled it and not even 1 hour has gone by.

I have now repurchased in another account instead."
Never received my subscription ,"I bought the $6 subscription using paypal and I never got the subscription



**Your Transaction ID:**
75E67896JV430023V


**Merchant Transaction ID:**
21X55663SK6844607


**Purchase Date:**
March 12, 2024


**Payment to:**
AppOnFly s.r.o.
svatek@apponfly.com

**Payment from:**
Omer Mohamed


Subtotal

$6.00 USD

**Total**

**$6.00 USD**"
Cloudflare blocking all websites,"Hi I was wondering if I can be issued a refund, as cloudflare is blocking all access to many websites making the VPS unusable.



Thanks"
EUR billing instead of USD,"Dear Sir/Madam,

When singing up with my initial account I was billed in USD but would prefer EUR. I have waited untill my first month was at an end to stop the subscription because I dont think it was possible to switch an active accout.

Is it possible to switch my account to EUR now?

A different VPS installation would be no issue.

With kind regards,
Bas van Antwerpen"
Request for free one weak trial ,"**Dear AppOnFly Team,**

I hope this message finds you well. My name is **Faisal**, and I am writing to inquire about the possibility of obtaining a **one-week free trial of your services.**

As an individual who is always on the lookout for efficient and reliable cloud-based solutions, I have come across AppOnFly and am highly impressed with the range of applications and services you offer. I believe that your platform could be instrumental in enhancing my productivity and workflow.

Before making a commitment, I would like to ensure that AppOnFly aligns perfectly with my requirements. Therefore, I kindly request a one-week trial period to thoroughly test and evaluate the features and capabilities of your service.

I am confident that this trial will allow me to experience the full potential of AppOnFly and lead to a long-term partnership.

Thank you for considering my request. I look forward to your positive response and am eager to explore how AppOnFly can benefit my professional endeavors.

Warm regards,

**Faisal**"
Is gaming possible on the silver plan?,"I wanted to play Elden Ring on the VPS. Here are the system requirements for the game:

- CPU: Intel Core i5-8400 | AMD Ryzen 3 3300X.
- RAM: 12 GB

Will the Silver plan be able to run the game? 8 GB ran isn't a problem but I was wondering about the CPU. And will there be any lag? I ran a speedtest and got 80 mbps download and 90 mbps upload. Will that be enough to ensure that the game doesnt lag? It's a fast-paced action RPG with fights so I really don't want my attacks to execute 2 seconds after I press the keys on my keyboard.



Thanks"
Persistence between sessions,My installed software is missing after shutdown and reboot. Is there no persistence or did I miss a step?
Help,"Hi

Why bluestacks emulator
does not work"
adress of the vps site with remote computer,hello   The VPS dont start.  I do the factory reset and it dont function and eat the minutes only.  i cannot start and stop the vps but he eats the minutes.  tree hours eating without doing nothing.
servers,"Hello.

 In which countries the servers are located."
Got RDP of Wrong Country,I wanted an RDP of USA while i got it of CheckRepublic. Please change my RDP's Location
Re: [AppOnFly] Re: Re: [AppOnFly] Re: Re: [AppOnFly] Re: Re: [AppOnFly] Re: rdp connection,"This is a follow-up to your previous request #1516 ""Re: [AppOnFly] Re: Re: [App...""

Bonjour,
Je suis sur que je n'ai pas utilisé la session, de plus avant le temps était bloqué a 3h max sa correspond a un problème avec votre mise a jour de ""Shutdown in:"".
Merci de contrôler les logs d'accès.
Cordialement."
Why my VM not 8gb ram?,Why my VM not 8gb ram? it appears to be less than that
(Urgent) Disconnect google account,"Hi, I have a request, can you kindly disconnect my google account from my AppOnFly account? Whenever I try logging in using email, it forces me to log in using google, and I do not want that. I have attached an image of what it asks from me. Thanks!"
Re: where my remote desktop setting,"i will like a refund this service is definitely not what i expected it to be 

On Mon, Mar 4, 2024 at 1:40 AM Andalla alioune Fall <fallandalla12@gmail.com> wrote:

i just bought this and i'm not getting any setting to log in my desktop what's going on"
I PAID 12 DOLARE BUT THE PAYMENT HISTORY IN 0 DOLLARS ,"I PAID 12 DOLLAR FOR PLAN

Windows VPS - 2CPU, 8GB RAM, 100GB SSD

AND THE renew DATE WILL BE March 15, 2025

BUT THE PAYMENT HISTORY IS 0 DOLLAR

CAN U EXPLAIN"
rdp not working,unstable network issue
We are spinning up your VPS. It will be up and running in a few minutes.,"My account has been stuck on the following message for the last two days.



We are spinning up your VPS. It will be up and running in a few minutes."
VPS has been broken (4-5 days),"I bought a VPS around the 20th, a $6 one. I only used it for 1 hour total, and then it was kinda glitchy, so I factory reset it the next day, and ever since Thursday the 21st, it's been spinning (factory resetting) And I guess a VPS resetting counts as usage time, since it seems that I have 0 hours left, even though i had around 5 hours used (4 hours were the VPS just idle). It's been like that ever since. All I'm asking is if I can get my VPS reset and working with 95 hours left, or a refund, since I haven't been able to use the VPS."
help,not working and it take forever i took a screen shoot
refund,"Hello I have made a purchase of rdp
My work requires that I run VPN programs
But the first program automatically rejects the connection
Secondly, after turning it on, the rdp no longer works
Can I get the money back?"
Free Trials Do Not Work,"Hello, I have a question about your free trials. I have been using them a bit in the past week or so, but now I can't seem to access them anymore. I've waited at least 2 or 3 days now. Can you please help?"
my subscribtion,"my subscribtion

Windows VPS - 2CPU, 8GB RAM, 100GB SSD

was expired and deleted before time and before the end of 100 hours

and I was not notified before the deletion!!!"
Money back,"I thought this VPS was a real computer, but it depends on the VPN. The programs I use do not work on this product, so please let me know if there is a chance to get the money back."
Check is this person work for you,"Hello,

This person (see image) says they're the Co-Owner of AppOnFly on Discord. I want to check if that's true or if they might be pretending to be someone else.

Thanks."
вопрс,"оплатил

но ничего нету, хотя деньги сняли, 6$"
cant acces my VM,i factory resetted my VPS yesterday and since then its been rebooting and i still cant connect to it
Payment Page not coming,"hey there, i am trying to subscribe 8gb ram vps but it's looping on subscribe page and payment page not coming"
location,"Hi, Could you please set my location to uk. and let me know if the IP address changes each time connect the rdp or its the same"
